기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530944,경기도교육청 청평고등학교,청평고등학교,현존,
7530945,경기도교육청 경기물류고등학교,경기물류고등학교,현존,
7530946,경기도교육청 송탄제일고등학교,송탄제일고등학교,현존,
7530947,경기도교육청 세경고등학교,세경고등학교,현존,
7530948,경기도교육청 화성국제고등학교,화성국제고등학교,현존,
7530969,경기도교육청 동패고등학교,동패고등학교,현존,
7530970,경기도교육청 신이고등학교,신이고등학교,현존,
7530971,경기도교육청 고읍고등학교,고읍고등학교,현존,
7530972,경기도교육청 마석고등학교,마석고등학교,현존,
7530973,경기도교육청 성복고등학교,성복고등학교,현존,
7530974,경기도교육청 가운고등학교,가운고등학교,현존,
7530975,경기도교육청 광서고등학교,광서고등학교,현존,
7530976,경기도교육청 동탄국제고등학교,동탄국제고등학교,현존,
7530977,경기도교육청 고양국제고등학교,고양국제고등학교,현존,
7530979,경기도교육청 덕현고등학교,덕현고등학교,현존,
7530980,경기도교육청 저현고등학교,저현고등학교,현존,
7530981,경기도교육청 율천고등학교,율천고등학교,현존,
7530982,경기도교육청 운산고등학교,운산고등학교,현존,
7530983,경기도교육청 이현고등학교,이현고등학교,현존,
7530985,경기도교육청 삼평고등학교,삼평고등학교,현존,
7530988,경기도교육청 국제글로벌통상고등학교,국제글로벌통상고등학교,현존,
7530989,경기도교육청 경기국제통상고등학교,경기국제통상고등학교,현존,
7530990,경기도교육청 동광고등학교,동광고등학교,현존,
7530991,경기도교육청 안산디자인문화고등학교,안산디자인문화고등학교,현존,
7530992,경기도교육청 청담고등학교,청담고등학교,현존,
7530993,경기도교육청 경화여자EnglishBusiness고등학교,경화여자EnglishBusiness고등학교,현존,
7530994,경기도교육청 신일비지니스고등학교,신일비지니스고등학교,현존,
7530995,경기도교육청 경민IT고등학교,경민IT고등학교,현존,
7530998,경기도교육청 신일비즈니스고등학교,신일비즈니스고등학교,현존,
7530999,경기도교육청 동국대학교사범대학부속영석고등학교,동국대학교사범대학부속영석고등학교,현존,
7531010,경기도교육청 향일고등학교,향일고등학교,현존,
7531011,경기도교육청 삼미고등학교,삼미고등학교,현존,
7531012,경기도교육청 풍산고등학교,풍산고등학교,현존,
7531013,경기도교육청 신봉고등학교,신봉고등학교,현존,
7531014,경기도교육청 상현고등학교,상현고등학교,현존,
7531015,경기도교육청 호서고등학교,호서고등학교,현존,
7531016,경기도교육청 교동고등학교,교동고등학교,현존,
7531017,경기도교육청 용성고등학교,용성고등학교,현존,
7531040,경기도교육청 광교고등학교,광교고등학교,현존,
7531041,경기도교육청 호매실고등학교,호매실고등학교,현존,
7531042,경기도교육청 대화고등학교,대화고등학교,현존,
7531043,경기도교육청 덕이고등학교,덕이고등학교,현존,
7531044,경기도교육청 서정고등학교,서정고등학교,현존,
7531045,경기도교육청 판곡고등학교,판곡고등학교,현존,
7531046,경기도교육청 세교고등학교,세교고등학교,현존,
7531047,경기도교육청 운정고등학교,운정고등학교,현존,
7531049,경기도교육청 평촌경영고등학교,평촌경영고등학교,현존,
7531050,경기도교육청 일산국제컨벤션고등학교,일산국제컨벤션고등학교,현존,
7531051,경기도교육청 세종고등학교,세종고등학교,현존,
7531052,경기도교육청 경기세무고등학교,경기세무고등학교,현존,
7531053,경기도교육청 양평전자과학고등학교,양평전자과학고등학교,현존,윤성상
7531054,경기도교육청 성보경영고등학교,성보경영고등학교,현존,
7531055,경기도교육청 경일관광경영고등학교,경일관광경영고등학교,현존,
7531056,경기도교육청 경기관광고등학교,경기관광고등학교,현존,
7531057,경기도교육청 백송고등학교,백송고등학교,현존,
7531060,경기도교육청 한국외식과학고등학교,한국외식과학고등학교,현존,
7531061,경기도교육청 경민비즈니스고등학교,경민비즈니스고등학교,현존,
7531096,경기도교육청 서천고등학교,서천고등학교,현존,
7531099,경기도교육청 고양동산고등학교,고양동산고등학교,현존,
7531100,경기도교육청 광휘고등학교,광휘고등학교,현존,
7531101,경기도교육청 부곡중앙고등학교,부곡중앙고등학교,현존,
7531102,경기도교육청 솔터고등학교,솔터고등학교,현존,
7531103,경기도교육청 운양고등학교,운양고등학교,현존,
7531105,경기도교육청 역곡고등학교,역곡고등학교,현존,
7531106,경기도교육청 부곡고등학교,부곡고등학교,현존,
7531107,경기도교육청 상록고등학교,상록고등학교,현존,
7531108,경기도교육청 모락고등학교,모락고등학교,현존,
7531109,경기도교육청 비전고등학교,비전고등학교,현존,
7531113,경기도교육청 별내고등학교,별내고등학교,현존,
7531114,경기도교육청 분당경영고등학교,분당경영고등학교,현존,
7531115,경기도교육청 성남금융고등학교,성남금융고등학교,현존,
7531116,경기도교육청 양주고등학교,양주고등학교,현존,
7531117,경기도교육청 홍익디자인고등학교,홍익디자인고등학교,현존,
7531119,경기도교육청 안산국제비즈니스고등학교,안산국제비즈니스고등학교,현존,
7531134,경기도교육청 한민고등학교,한민고등학교,현존,
7531135,경기도교육청 세교3고등학교,세교3고등학교,현존,
7531136,경기도교육청 초월고등학교,초월고등학교,현존,
7531137,경기도교육청 한빛고등학교,한빛고등학교,현존,
7531138,경기도교육청 수원칠보고등학교,수원칠보고등학교,현존,
7531139,경기도교육청 매홀고등학교,매홀고등학교,현존,
7531141,경기도교육청 서현고등학교부설방송통신고등학교,서현고등학교부설방송통신고등학교,현존,
7531142,경기도교육청 상동고등학교부설방송통신고등학교,상동고등학교부설방송통신고등학교,현존,
7531143,경기도교육청 이천세무고등학교,이천세무고등학교,현존,
7531144,경기도교육청 하남경영고등학교,하남경영고등학교,현존,
7531145,경기도교육청 김포제일공업고등학교,김포제일공업고등학교,현존,
7531146,경기도교육청 용인한국외국어대학교부설고등학교,용인한국외국어대학교부설고등학교,현존,
7531149,경기도교육청 김포제일고등학교,김포제일고등학교,현존,
7531158,경기도교육청 옥정고등학교,옥정고등학교,현존,김동신
7531159,경기도교육청 동탄중앙고등학교,동탄중앙고등학교,현존,김동신
7531161,경기도교육청 용인삼계고등학교,용인삼계고등학교,현존,김동신
7531162,경기도교육청 화성반월고등학교,화성반월고등학교,현존,김동신
7531163,경기도교육청 미사고등학교,미사고등학교,현존,김동신
7531164,경기도교육청 청북고등학교,청북고등학교,현존,김동신
7531165,경기도교육청 도래울고등학교,도래울고등학교,현존,김동신
7531166,경기도교육청 이의고등학교,이의고등학교,현존,김동신
7531167,경기도교육청 송양고등학교,송양고등학교,현존,김동신
7531224,경기도교육청 경기도농업계고등학교공동실습소,경기도농업계고등학교공동실습소,현존,김동신
7531225,경기도교육청 경기도농업계고등학교공동실습소행정실,경기도농업계고등학교공동실습소행정실,현존,김동신
7531236,경기도교육청 문산수억고등학교,문산수억고등학교,현존,김동신
7531239,경기도교육청 곡정고등학교,곡정고등학교,현존,이영화
7531240,경기도교육청 한백고등학교,한백고등학교,현존,이영화
7531241,경기도교육청 하길고등학교,하길고등학교,현존,이영화
7531242,경기도교육청 고림고등학교,고림고등학교,현존,이영화
7531243,경기도교육청 위례한빛고등학교,위례한빛고등학교,현존,이영화
7531244,경기도교육청 미사강변고등학교,미사강변고등학교,현존,이영화
7531245,경기도교육청 위례고등학교,위례고등학교,현존,이영화
7531246,경기도교육청 배곧고등학교,배곧고등학교,현존,이영화
7531247,경기도교육청 별가람고등학교,별가람고등학교,현존,이영화
7531248,경기도교육청 지산고등학교,지산고등학교,현존,이영화
7531255,경기도교육청 판교고등학교,판교고등학교,현존,이영화
7531256,경기도교육청 성남테크노과학고등학교,성남테크노과학고등학교,현존,이영화
7531257,경기도교육청 두원공업고등학교,두원공업고등학교,현존,이영화
7531270,경기도교육청 갈매고등학교,갈매고등학교,현존,윤성상
7531272,경기도교육청 군포중앙고등학교,군포중앙고등학교,현존,윤성상
7531275,경기도교육청 경기경영고등학교,경기경영고등학교,현존,윤성상
7531276,경기도교육청 진영고등학교,진영고등학교,현존,윤성상
7531289,경기도교육청 태전고등학교,태전고등학교,현존,
7531290,경기도교육청 이산고등학교,이산고등학교,현존,
7531291,경기도교육청 성남고등학교,성남고등학교,현존,
7531292,경기도교육청 창의고등학교,창의고등학교,현존,
7531293,경기도교육청 군자디지털과학고등학교,군자디지털과학고등학교,현존,
7531294,경기도교육청 라온고등학교,라온고등학교,현존,
7531327,경기도교육청 한봄고등학교,한봄고등학교,현존,이수강
7531328,경기도교육청 덕영고등학교,덕영고등학교,현존,이수강
7531330,경기도교육청 정현고등학교,정현고등학교,현존,이수강
7531360,경기도교육청 고양송암고등학교,고양송암고등학교,현존,장주희
7531370,경기도교육청 목감고등학교,목감고등학교,현존,박헌
7531371,경기도교육청 하늘꿈중고등학교,하늘꿈중고등학교,현존,박헌
7531372,경기도교육청 노비따스음악중고등학교,노비따스음악중고등학교,현존,박헌
7531373,경기도교육청 서연고등학교,서연고등학교,현존,박헌
7531374,경기도교육청 새솔고등학교,새솔고등학교,현존,박헌
7531375,경기도교육청 고촌고등학교,고촌고등학교,현존,박헌
7531376,경기도교육청 남양주다산고등학교,남양주다산고등학교,현존,박헌
7531377,경기도교육청 경기게임마이스터고등학교,경기게임마이스터고등학교,현존,박헌
7531378,경기도교육청 경기폴리텍고등학교,경기폴리텍고등학교,현존,박헌
7531379,경기도교육청 용인홍천고등학교,용인홍천고등학교,현존,박헌
7531380,경기도교육청 경기스마트고등학교,경기스마트고등학교,현존,박헌
7531381,경기도교육청 근명고등학교,근명고등학교,현존,박헌
7531382,경기도교육청 경기항공고등학교,경기항공고등학교,현존,박헌
7531389,경기도교육청 처인고등학교,처인고등학교,현존,민지은
7531390,경기도교육청 감일고등학교,감일고등학교,현존,민지은
7531393,경기도교육청 옥빛고등학교,옥빛고등학교,현존,민지은
7531394,경기도교육청 신원고등학교,신원고등학교,현존,민지은
7531395,경기도교육청 향동고등학교,향동고등학교,현존,민지은
7531406,경기도교육청 이솔고등학교,이솔고등학교,현존,구성희
7531407,경기도교육청 창의경영고등학교,창의경영고등학교,현존,구성희
7531408,경기도교육청 평택마이스터고등학교,평택마이스터고등학교,현존,구성희
7531409,경기도교육청 안양문화고등학교,안양문화고등학교,현존,구성희
7541406,경기도교육청 경기도수원교육지원청 경기과학고등학교,경기과학고등학교,현존,민지은
7541407,경기도교육청 경기도수원교육지원청 경기대명고등학교,경기대명고등학교,현존,민지은
7541408,경기도교육청 경기도수원교육지원청 경기체육고등학교,경기체육고등학교,현존,민지은
7541409,경기도교육청 경기도수원교육지원청 고색고등학교,고색고등학교,현존,민지은
7541410,경기도교육청 경기도수원교육지원청 곡정고등학교,곡정고등학교,현존,민지은
7541411,경기도교육청 경기도수원교육지원청 광교고등학교,광교고등학교,현존,민지은
7541412,경기도교육청 경기도수원교육지원청 권선고등학교,권선고등학교,현존,민지은
7541413,경기도교육청 경기도수원교육지원청 대평고등학교,대평고등학교,현존,민지은
7541414,경기도교육청 경기도수원교육지원청 망포고등학교,망포고등학교,현존,민지은
7541415,경기도교육청 경기도수원교육지원청 매원고등학교,매원고등학교,현존,민지은
7541416,경기도교육청 경기도수원교육지원청 매탄고등학교,매탄고등학교,현존,민지은
7541417,경기도교육청 경기도수원교육지원청 수성고등학교,수성고등학교,현존,민지은
7541418,경기도교육청 경기도수원교육지원청 수원농생명과학고등학교,수원농생명과학고등학교,현존,민지은
7541419,경기도교육청 경기도수원교육지원청 수원여자고등학교,수원여자고등학교,현존,민지은
7541420,경기도교육청 경기도수원교육지원청 수원외국어고등학교,수원외국어고등학교,현존,민지은
7541421,경기도교육청 경기도수원교육지원청 수원정보과학고등학교,수원정보과학고등학교,현존,민지은
7541422,경기도교육청 경기도수원교육지원청 수원칠보고등학교,수원칠보고등학교,현존,민지은
7541423,경기도교육청 경기도수원교육지원청 수일고등학교,수일고등학교,현존,민지은
7541424,경기도교육청 경기도수원교육지원청 숙지고등학교,숙지고등학교,현존,민지은
7541425,경기도교육청 경기도수원교육지원청 영덕고등학교,영덕고등학교,현존,민지은
7541426,경기도교육청 경기도수원교육지원청 율천고등학교,율천고등학교,현존,민지은
7541427,경기도교육청 경기도수원교육지원청 이의고등학교,이의고등학교,현존,민지은
7541428,경기도교육청 경기도수원교육지원청 장안고등학교,장안고등학교,현존,민지은
7541429,경기도교육청 경기도수원교육지원청 조원고등학교,조원고등학교,현존,민지은
7541430,경기도교육청 경기도수원교육지원청 천천고등학교,천천고등학교,현존,민지은
7541431,경기도교육청 경기도수원교육지원청 청명고등학교,청명고등학교,현존,민지은
7541432,경기도교육청 경기도수원교육지원청 태장고등학교,태장고등학교,현존,민지은
7541433,경기도교육청 경기도수원교육지원청 수원하이텍고등학교,수원하이텍고등학교,현존,민지은
7541434,경기도교육청 경기도수원교육지원청 호매실고등학교,호매실고등학교,현존,민지은
7541435,경기도교육청 경기도수원교육지원청 화홍고등학교,화홍고등학교,현존,민지은
7541436,경기도교육청 경기도수원교육지원청 효원고등학교,효원고등학교,현존,민지은
7551252,경기도교육청 경기도성남교육지원청 성남금융고등학교,성남금융고등학교,현존,
7771183,경기도교육청 경기도김포교육지원청 고촌고등학교,고촌고등학교,현존,장주희
