기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530169,경기도교육청 세원고등학교,세원고등학교,현존,
7530170,경기도교육청 소명여자고등학교,소명여자고등학교,현존,
7530171,경기도교육청 송림고등학교,송림고등학교,현존,
7530172,경기도교육청 송탄여자고등학교,송탄여자고등학교,현존,
7530173,경기도교육청 수원경성고등학교,수원경성고등학교,현존,
7530174,경기도교육청 수원고등학교,수원고등학교,현존,
7530175,경기도교육청 숭신여자고등학교,숭신여자고등학교,현존,
7530176,경기도교육청 시온고등학교,시온고등학교,현존,
7530177,경기도교육청 신갈고등학교,신갈고등학교,현존,
7530178,경기도교육청 신성고등학교,신성고등학교,현존,
7530179,경기도교육청 신한고등학교,신한고등학교,현존,
7530180,경기도교육청 신흥고등학교,신흥고등학교,현존,
7530181,경기도교육청 안법고등학교,안법고등학교,현존,
7530182,경기도교육청 안산강서고등학교,안산강서고등학교,현존,
7530183,경기도교육청 안산고등학교,안산고등학교,현존,
7530184,경기도교육청 안산동산고등학교,안산동산고등학교,현존,
7530185,경기도교육청 안양여자고등학교,안양여자고등학교,현존,
7530187,경기도교육청 안양외국어고등학교,안양외국어고등학교,현존,
7530189,경기도교육청 양명고등학교,양명고등학교,현존,
7530190,경기도교육청 양명여자고등학교,양명여자고등학교,현존,
7530191,경기도교육청 여주고등학교,여주고등학교,현존,
7530194,경기도교육청 영복여자고등학교,영복여자고등학교,현존,
7530195,경기도교육청 영생고등학교,영생고등학교,현존,
7530196,경기도교육청 영석고등학교,영석고등학교,현존,
7530197,경기도교육청 영신여자고등학교,영신여자고등학교,현존,
7530198,경기도교육청 오산고등학교,오산고등학교,현존,
7530200,경기도교육청 우성고등학교,우성고등학교,현존,
7530201,경기도교육청 유신고등학교,유신고등학교,현존,
7530202,경기도교육청 율곡고등학교,율곡고등학교,현존,
7530203,경기도교육청 일산대진고등학교,일산대진고등학교,현존,
7530204,경기도교육청 정명고등학교,정명고등학교,현존,
7530207,경기도교육청 진성고등학교,진성고등학교,현존,
7530208,경기도교육청 창현고등학교,창현고등학교,현존,
7530209,경기도교육청 태성고등학교,태성고등학교,현존,
7530210,경기도교육청 태원고등학교,태원고등학교,현존,
7530213,경기도교육청 풍생고등학교,풍생고등학교,현존,
7530214,경기도교육청 하남고등학교,하남고등학교,현존,
7530215,경기도교육청 한광고등학교,한광고등학교,현존,
7530216,경기도교육청 한광여자고등학교,한광여자고등학교,현존,
7530217,경기도교육청 한인고등학교,한인고등학교,현존,
7530219,경기도교육청 효성고등학교,효성고등학교,현존,
7530225,경기도교육청 관악정보산업고등학교,관악정보산업고등학교,현존,
7530235,경기도교육청 군포정보산업고등학교,군포정보산업고등학교,현존,
7530247,경기도교육청 반월정보산업고등학교,반월정보산업고등학교,현존,
7530253,경기도교육청 부명정보산업고등학교,부명정보산업고등학교,현존,
7530254,경기도교육청 부천공업고등학교,부천공업고등학교,현존,
7530256,경기도교육청 부천정보산업고등학교,부천정보산업고등학교,현존,
7530257,경기도교육청 분당정보산업고등학교,분당정보산업고등학교,현존,
7530258,경기도교육청 산본공업고등학교,산본공업고등학교,현존,
7530259,경기도교육청 성남공업고등학교,성남공업고등학교,현존,
7530260,경기도교육청 성남정보산업고등학교,성남정보산업고등학교,현존,
7530262,경기도교육청 소래고등학교,소래고등학교,현존,
7530265,경기도교육청 수원농생명과학고등학교,수원농생명과학고등학교,현존,
7530266,경기도교육청 수원정보산업공업고등학교,수원정보산업공업고등학교,현존,
7530267,경기도교육청 신일정보산업고등학교,신일정보산업고등학교,현존,
7530268,경기도교육청 시화공업고등학교,시화공업고등학교,현존,
7530270,경기도교육청 안양공업고등학교,안양공업고등학교,현존,
7530275,경기도교육청 양평공업고등학교,양평공업고등학교,현존,
7530278,경기도교육청 여주자영농업고등학교,여주자영농업고등학교,현존,
7530280,경기도교육청 영북종합고등학교,영북종합고등학교,현존,
7530283,경기도교육청 의정부공업고등학교,의정부공업고등학교,현존,
7530289,경기도교육청 일산정보산업고등학교,일산정보산업고등학교,현존,
7530293,경기도교육청 적성종합고등학교,적성종합고등학교,현존,
7530297,경기도교육청 주엽공업고등학교,주엽공업고등학교,현존,
7530300,경기도교육청 청평공업고등학교,청평공업고등학교,현존,
7530301,경기도교육청 평촌공업고등학교,평촌공업고등학교,현존,
7530302,경기도교육청 평촌정보산업고등학교,평촌정보산업고등학교,현존,
7530311,경기도교육청 경민정보산업공업고등학교,경민정보산업공업고등학교,현존,
7530318,경기도교육청 광명공업고등학교,광명공업고등학교,현존,
7530327,경기도교육청 동일공업고등학교,동일공업고등학교,현존,
